repository,language,selectedfiles,nummult01,nummult02,nummult03,nummult04,nummult05,nummult06,nummult07,nummult08,nummult09
Itseez/opencv,C++,1817,1445,1438,1414,1362,1244,1047,756,456,138
jadejs/jade,JavaScript,302,150,149,149,147,144,137,125,104,15
janl/mustache.js,JavaScript,121,49,49,49,49,49,49,48,45,32
jashkenas/backbone,JavaScript,15,11,10,10,10,9,8,5,3,1
jekyll/jekyll,Ruby,159,113,113,112,110,103,92,70,59,19
JetBrains/intellij-community,Java,56393,30727,30668,30426,29967,29082,27378,23146,17030,4815
jnicklas/capybara,Ruby,146,114,113,111,105,96,84,66,52,18
JohnLangford/vowpal_wabbit,C++,249,198,185,173,152,131,108,81,50,26
joomla/joomla-cms,PHP,2959,2916,2916,2914,2908,2890,2820,2560,1906,760
jquery/jquery,JavaScript,178,146,145,142,139,135,127,104,61,10
jquery/jquery-ui,JavaScript,489,477,477,475,464,453,406,339,257,131
jrburke/requirejs,PHP,613,73,69,69,68,68,68,68,63,20
justinfrench/formtastic,Ruby,154,120,117,115,106,85,66,53,37,10
kivy/kivy,Python,321,297,295,290,267,232,175,107,59,22
koush/ion,Java,115,19,15,13,10,7,6,3,0,0
kriswallsmith/assetic,PHP,233,178,178,171,152,116,82,60,38,15
Leaflet/Leaflet,JavaScript,162,145,138,128,98,82,70,47,30,3
less/less.js,JavaScript,371,198,198,195,190,174,155,133,107,33
libgdx/libgdx,Java,3347,2695,2690,2675,2625,2534,2351,2114,1779,433
mailpile/Mailpile,Python,318,269,256,234,198,170,138,85,59,14
mbostock/d3,JavaScript,505,280,279,274,255,204,159,103,74,29
meskyanichi/backup,Ruby,202,109,109,107,105,102,97,88,62,29
meteor/meteor,JavaScript,656,458,457,445,436,419,387,315,208,96
mitchellh/vagrant,Ruby,935,529,517,497,461,406,343,230,154,20
mitsuhiko/flask,Python,59,57,56,54,48,42,35,29,16,9
moment/moment,JavaScript,216,199,199,199,199,199,191,176,158,98
mongoid/mongoid,Ruby,688,414,387,360,322,267,201,119,87,15
mozilla/pdf.js,JavaScript,155,122,122,122,120,117,105,81,49,18
mrdoob/three.js,JavaScript,409,248,242,236,213,185,147,109,64,21
nate-parrott/Flashlight,Python,776,73,70,70,70,66,62,56,46,9
netty/netty,Java,1594,1188,1177,1108,952,849,762,620,459,127
nicolasgramlich/AndEngine,Java,599,66,54,52,32,13,6,4,3,1
odoo/odoo,Python,2382,1967,1963,1937,1903,1837,1739,1523,1104,275
omab/django-social-auth,Python,102,89,87,85,81,73,64,52,43,22
openframeworks/openFrameworks,C++,2010,1269,1260,1242,1217,1175,1129,1012,773,98
paulasmuth/fnordmetric,C++,417,61,59,45,35,22,13,4,1,1
phacility/phabricator,PHP,3802,2952,2946,2922,2855,2717,2413,1828,1214,209
php/php-src,C,15458,10550,10535,10518,10456,10366,10132,9160,7446,1813
plataformatec/devise,Ruby,222,196,193,182,176,164,137,106,63,24
powerline/powerline,Python,190,81,78,70,65,53,49,37,30,13
prawnpdf/prawn,Ruby,193,184,184,181,173,165,142,106,46,16
puphpet/puphpet,PHP,306,130,125,112,98,88,81,73,64,8
puppetlabs/puppet,Ruby,2204,1842,1837,1823,1796,1746,1630,1421,1010,311
pydata/pandas,Python,416,328,323,308,283,252,216,162,104,30
rails/rails,Ruby,2318,1746,1743,1739,1718,1654,1546,1362,916,283
ratchetphp/Ratchet,PHP,89,81,79,74,65,51,38,13,4,0
ReactiveX/RxJava,Java,410,355,355,354,346,297,243,164,113,59
Respect/Validation,PHP,335,278,277,276,266,231,194,169,107,22
resque/resque,Ruby,73,69,69,66,63,61,58,49,30,6
rg3/youtube-dl,Python,545,449,447,442,441,428,401,310,214,67
ruby/ruby,Ruby,3482,2561,2554,2524,2436,2257,1994,1406,828,179
saltstack/salt,Python,1267,1151,1145,1130,1102,1052,955,753,502,172
sampsyo/beets,Python,131,126,117,110,105,91,77,55,37,22
sandstorm-io/capnproto,C++,228,91,77,55,39,31,19,10,7,0
sass/sass,Ruby,259,175,170,155,131,110,95,67,46,15
scikit-learn/scikit-learn,C,441,380,375,363,343,311,257,200,124,46
sebastianbergmann/phpunit,PHP,393,297,259,205,161,146,138,122,109,27
Seldaek/monolog,PHP,148,136,136,135,135,133,121,100,64,19
sferik/twitter,Ruby,154,97,86,62,37,25,19,14,9,6
SFTtech/openage,C++,280,238,237,232,225,214,189,132,80,23
Shopify/active_merchant,Ruby,510,401,401,400,392,366,321,256,183,46
silexphp/Silex,PHP,104,81,81,80,78,74,67,51,24,4
sparklemotion/nokogiri,Java,320,224,224,219,210,183,148,81,55,19
spotify/luigi,Python,140,131,131,131,130,127,118,103,67,9
spring-projects/spring-framework,Java,5846,5539,5538,5529,5489,5399,5164,4571,3539,1712
sstephenson/sprockets,Ruby,105,38,29,22,15,12,9,3,1,1
strongloop/express,JavaScript,100,85,82,80,79,73,70,56,30,9
substack/node-browserify,JavaScript,288,42,42,40,40,36,31,29,27,5
thinkaurelius/titan,Java,1361,655,652,639,614,547,451,330,240,106
ThinkUpLLC/ThinkUp,PHP,860,732,724,686,627,541,482,405,317,136
thoughtbot/factory_girl,Ruby,134,93,93,90,86,79,76,67,52,37
thoughtbot/paperclip,Ruby,150,108,108,108,105,99,88,60,37,9
thumbor/thumbor,Python,182,120,119,119,118,109,94,66,46,11
torvalds/linux,C,40169,33292,33095,32599,31722,30310,28031,24042,17051,5544
TryGhost/Ghost,JavaScript,575,468,468,468,467,463,451,406,282,57
v8/v8,C++,3746,2071,2071,2066,2051,2007,1919,1707,1380,318
webscalesql/webscalesql-5.6,C++,4176,3798,3795,3779,3752,3667,3533,3213,2542,1167
WordPress/WordPress,PHP,695,667,662,642,601,533,470,380,268,126
wp-cli/wp-cli,PHP,178,126,120,111,102,94,79,61,31,6
xetorthio/jedis,Java,134,124,124,122,120,117,101,74,51,17
yiisoft/yii2,PHP,1195,1069,1069,1054,1013,902,764,551,296,101
